id,cpu,mem,traffic
260,88,21,900000
2373,79,21,900000
4486,80,21,900000
6599,81,21,900000
8712,86,21,900000
70,1,77,888888
2183,1,77,888888
4296,1,77,888888
6409,1,77,888888
8522,1,77,888888
2298,1,72,852654
236,75,21,800000
2349,76,21,800000
4462,77,21,800000
6575,87,21,800000
8688,79,21,800000
168,1,88,789456
2281,1,88,789456
4394,1,88,789456
6507,1,88,789456
8620,1,88,789456
8637,1,72,784578
350,71,35,777777
2463,71,35,777777
4576,71,35,777777
6689,71,35,777777
8802,71,35,777777
204,71,21,700000
2317,71,21,700000
4430,71,21,700000
6543,71,21,700000
8656,71,21,700000
331,71,35,666666
2444,71,35,666666
4557,71,35,666666
6670,71,35,666666
8783,71,35,666666
117,1,90,654987
2230,1,90,654987
4343,1,90,654987
6456,1,90,654987
8569,1,90,654987
4411,1,72,632145
286,90,35,600000
2399,91,35,600000
4512,92,35,600000
6625,93,35,600000
8738,94,35,600000
6,1,79,567845
2119,1,79,567845
4232,1,79,567845
6345,1,79,567845
8458,1,79,567845
6524,1,72,563698
308,77,35,555555
2421,78,35,555555
4534,79,35,555555
6647,80,35,555555
8760,81,35,555555
147,1,99,500000
2260,1,99,500000
4373,1,99,500000
6486,1,99,500000
8599,1,99,500000
185,1,72,456123
4319,1,69,569999
6432,1,69,559874
8545,1,69,525266
2165,1,65,512540
4278,1,65,502542
52,1,65,499987
93,1,69,494561
2206,1,69,492513
8504,1,65,490000
6391,1,65,489986
715,1,14,214793
2828,1,14,214793
4941,1,14,214793
7054,1,14,214793
9167,1,14,214793
714,1,14,214792
2827,1,14,214792
4940,1,14,214792
7053,1,14,214792
9166,1,14,214792
713,1,14,214791
2826,1,14,214791
4939,1,14,214791
7052,1,14,214791
9165,1,14,214791
712,1,14,214790
2825,1,14,214790
4938,1,14,214790
7051,1,14,214790
9164,1,14,214790
711,1,14,214789
2824,1,14,214789
4937,1,14,214789
7050,1,14,214789
9163,1,14,214789
710,1,14,214788
2823,1,14,214788
4936,1,14,214788
7049,1,14,214788
9162,1,14,214788
709,1,14,214787
